Date,Electricity consumption(MW),Electricity production(MW),Electricity consumption player(MW),Electricity consumption Industrial Zones(MW),Electricity consumption Commercial Zones (MW),Electricity consumption Residential Zones(MW),Electricity consumption Office Zones(MW),Temperature(°C)
2025-08-20T05:33:04,197,240,18.864,45.824,5.616,123.312,3.76,13.81899
2025-08-20T05:45:07,198,240,18.976,46.08,5.648,123.968,3.776,13.78768
2025-08-20T05:57:02,196,240,18.944,43.744,5.6,124.128,3.76,13.75835
2025-08-20T06:09:04,218,276,19.12,64.592,6.464,124.208,3.76,13.73011
2025-08-20T06:21:01,220,276,19.104,66.624,6.544,123.984,3.792,13.70343
2025-08-20T06:33:05,222,276,19.152,68.976,6.496,124.416,3.776,13.67804
2025-08-20T06:45:07,223,276,19.152,69.504,6.448,124.416,3.792,13.6542
2025-08-20T06:57:07,219,276,19.104,66.544,6.112,124.32,3.76,13.63167
2025-08-20T07:09:02,217,276,19.12,64.336,6.192,124.592,3.712,13.6104
2025-08-20T07:21:06,219,276,19.12,65.6,6.128,124.864,3.744,13.59007
2025-08-20T07:33:01,218,276,19.104,64.688,6.32,124.352,3.76,13.57102
2025-08-20T07:45:07,217,276,19.168,64.192,6.128,124.576,3.824,13.55267
2025-08-20T07:57:04,214,276,19.168,61.072,6.464,124.592,3.696,13.53556
2025-08-20T08:09:07,215,276,19.168,61.36,6.16,124.88,3.776,13.5192
2025-08-20T08:21:05,214,276,19.184,59.792,6.24,125.152,3.76,13.50376
2025-08-20T08:33:01,212,276,19.104,58.656,6.32,124.624,3.776,13.48929
2025-08-20T08:45:03,213,276,19.2,59.472,6.256,124.816,3.776,13.47547
2025-08-20T08:57:03,213,276,19.184,59.184,6.304,125.184,3.776,13.4624
2025-08-20T09:09:00,212,276,19.184,58.944,6.08,124.336,3.728,13.44991
2025-08-20T09:21:03,210,276,19.184,57.2,6.016,124.448,3.744,13.43825
2025-08-20T09:33:04,210,276,19.216,56.544,6.24,124.768,3.712,13.42707
2025-08-20T09:45:04,212,276,19.184,58.128,6.24,125.184,3.76,13.4166
2025-08-20T09:57:02,215,276,19.184,60.864,6.496,125.008,3.792,13.40667
2025-08-20T10:09:07,217,276,19.2,63.296,6.304,125.408,3.76,13.39722
2025-08-20T10:21:05,220,276,19.136,65.664,6.56,125.232,3.824,13.38823
2025-08-20T10:33:04,219,276,19.216,64.16,6.544,125.52,3.792,13.43172
2025-08-20T10:45:05,217,276,19.168,62.784,6.512,124.88,3.744,13.61597
2025-08-20T10:57:07,213,276,19.104,59.344,6.736,124.656,3.776,13.7909
2025-08-20T11:09:06,213,276,19.056,59.952,6.592,124.08,3.632,13.95607
2025-08-20T11:21:06,214,276,18.912,62.496,6.608,122.784,3.728,14.11203
2025-08-20T11:33:07,214,276,18.928,62.736,6.736,122.672,3.664,14.26093
2025-08-20T11:45:04,213,276,18.912,61.856,6.656,122.144,3.6,14.40036
2025-08-20T11:57:04,211,276,18.784,61.12,6.736,121.328,3.632,14.53302
2025-08-20T12:09:09,210,276,18.832,60.304,6.336,121.504,3.696,14.65921
2025-08-20T12:21:05,207,276,18.848,58.48,6.432,120.688,3.536,14.77801
2025-08-20T12:33:08,205,276,18.832,57.024,6.336,119.936,3.552,14.89132
2025-08-20T12:45:00,205,276,18.688,56.784,6.4,119.76,3.6,14.99649
2025-08-20T12:57:08,205,276,18.592,57.52,6.432,118.944,3.536,15.09904
2025-08-20T13:09:08,202,276,18.64,55.152,6.656,118.88,3.472,15.1946
2025-08-20T13:21:02,199,276,18.576,52.736,6.912,118.176,3.488,15.28453
2025-08-20T13:33:00,196,276,18.496,49.68,6.752,117.648,3.568,15.37009
2025-08-20T13:45:04,199,276,18.544,52.064,7.088,118.336,3.472,15.45191
2025-08-20T13:57:06,196,276,18.544,49.776,7.04,117.904,3.536,15.52881
2025-08-20T14:09:03,196,276,18.528,50.032,7.072,116.944,3.536,15.60156
2025-08-20T14:21:04,195,276,18.496,49.312,6.8,116.928,3.472,15.67066
2025-08-20T14:33:08,195,276,18.496,50.48,6.608,116.688,3.456,15.73597
2025-08-20T14:45:00,193,276,18.432,47.92,6.624,116.768,3.568,15.79745
2025-08-20T14:57:04,192,276,18.512,47.344,6.656,116.816,3.456,15.85615
2025-08-20T15:09:02,192,276,18.4,47.888,6.32,116.096,3.424,15.91142
2025-08-20T15:21:05,194,276,18.304,49.776,6.384,116.144,3.408,15.96417
2025-08-20T15:33:03,196,276,18.384,52.224,6.384,115.968,3.504,16.01361
2025-08-20T15:45:06,196,276,18.432,52.784,6.352,115.872,3.488,16.06082
2025-08-20T15:57:04,196,276,18.304,52.144,6.176,116.064,3.344,16.10523
2025-08-20T16:09:07,197,276,18.368,54.112,6.288,114.784,3.456,16.14776
2025-08-20T16:21:00,199,276,18.304,56.784,6.208,115.056,3.44,16.18727
2025-08-20T16:33:09,200,276,18.32,56.736,6.416,115.68,3.456,16.2255
2025-08-20T16:45:07,196,276,18.24,54.384,6.192,114.624,3.28,16.26125
2025-08-20T16:57:00,196,276,18.304,53.344,6.064,115.056,3.488,16.2947
2025-08-20T17:09:11,194,276,18.176,53.184,6.192,113.6,3.312,16.32711
2025-08-20T17:21:05,194,276,18.24,52.976,5.888,114.16,3.408,16.35732
2025-08-20T17:33:06,193,276,18.272,52.08,5.856,114.256,3.424,16.38659
2025-08-20T17:45:02,194,276,18.256,52.928,5.92,113.664,3.424,16.41339
2025-08-20T17:57:02,193,275,18.224,51.984,5.92,113.84,3.488,16.43907
2025-08-20T18:09:03,195,274,18.192,54.304,5.936,113.776,3.28,16.46385
2025-08-20T18:21:08,194,272,18.16,53.408,5.904,114.016,3.392,16.48693
2025-08-20T18:33:07,196,268,18.208,55.168,5.792,114.08,3.264,16.50873
2025-08-20T18:45:03,196,266,18.256,55.888,6.128,112.976,3.2,16.52948
2025-08-20T18:57:01,197,263,18.272,56.752,5.92,113.36,3.424,16.54895
2025-08-20T19:09:09,197,261,18.112,57.296,6.096,113.04,3.392,16.56783
2025-08-20T19:21:04,197,258,18.192,57.6,6.24,112.048,3.328,16.58524
2025-08-20T19:33:00,199,256,18.16,58.8,6.48,112.848,3.36,16.60182
2025-08-20T19:45:08,196,254,18.096,55.632,6.784,112.976,3.328,16.61797
2025-08-20T19:57:07,199,252,18.16,57.952,6.64,113.328,3.264,16.63249
2025-08-20T20:09:05,197,250,18.144,56.4,6.8,112.704,3.344,16.64702
2025-08-20T20:21:06,197,249,18.192,56.096,6.832,112.672,3.376,16.66017
2025-08-20T20:33:03,195,248,18.144,53.888,6.816,113.008,3.36,16.67263
2025-08-20T20:45:05,196,246,18.144,54.576,6.784,113.136,3.36,16.68512
2025-08-20T20:57:01,198,244,18.112,57.344,6.928,112.704,3.248,16.6962
2025-08-20T21:09:03,195,243,18.144,54.624,6.784,112.064,3.392,16.70664
2025-08-20T21:21:02,195,242,18.176,54.576,7.04,112.112,3.392,16.71704
2025-08-20T21:33:00,192,241,18.176,52.32,6.96,112.144,3.376,16.72736
2025-08-20T21:45:05,192,240,18.112,52.64,6.832,111.872,3.424,16.73584
2025-08-20T21:57:08,195,239,18.096,54.528,6.72,112.624,3.392,16.7442
2025-08-20T22:09:03,176,201,17.968,38.112,4.992,112.208,3.232,16.75251
2025-08-20T22:21:05,176,201,18,38.032,4.928,112.144,3.296,16.76084
2025-08-20T22:33:02,175,200,18.064,36.912,4.976,112.304,3.312,16.76826
2025-08-20T22:45:00,175,199,17.984,37.168,4.976,112.368,3.392,16.77448
2025-08-20T22:57:07,174,198,17.984,36.336,4.88,112.448,3.344,16.7808
2025-08-20T23:09:08,174,198,17.984,35.552,5.04,112.016,3.408,16.74397
2025-08-20T23:21:05,176,197,18.048,36.88,5.04,113.184,3.36,16.5491
2025-08-20T23:33:04,180,197,18.112,38.944,5.36,114.24,3.408,16.36352
2025-08-20T23:45:02,181,196,18.128,39.408,5.424,114.64,3.424,16.18914
2025-08-20T23:57:00,184,196,18.256,41.2,5.184,115.968,3.488,16.023
2025-08-21T00:09:07,183,195,18.32,39.84,5.28,116.816,3.52,15.8645
2025-08-21T00:21:02,187,195,18.24,42.992,5.584,117.136,3.52,15.71592
2025-08-21T00:33:08,187,194,18.32,43.2,5.376,117.488,3.456,15.57483
2025-08-21T00:45:05,186,194,18.416,40.72,5.456,118.256,3.664,15.44136
2025-08-21T00:57:11,186,193,18.48,41.488,5.344,118.176,3.36,15.31444
2025-08-21T01:09:03,188,193,18.4,42.176,5.392,118.864,3.44,15.19577
2025-08-21T01:21:01,189,192,18.448,42.08,5.408,119.456,3.632,15.08276
2025-08-21T01:33:08,187,192,18.528,40.352,5.536,119.648,3.568,14.9743
2025-08-21T01:45:06,188,192,18.608,40.768,5.264,120.72,3.616,14.87311
2025-08-21T01:57:02,187,192,18.656,39.376,5.744,120.496,3.504,14.77754
2025-08-21T02:09:01,186,192,18.624,39.472,5.2,120.016,3.632,14.68628
2025-08-21T02:21:03,187,192,18.624,38.56,5.36,121.312,3.568,14.59994
2025-08-21T02:33:01,188,192,18.672,39.088,5.568,121.536,3.616,14.51786
2025-08-21T02:45:04,190,192,18.672,41.36,5.312,121.648,3.632,14.4407
2025-08-21T02:57:08,189,192,18.816,40.256,5.344,121.936,3.632,14.36717
2025-08-21T03:09:05,187,192,18.736,38.4,5.2,121.552,3.584,14.29795
2025-08-21T03:21:01,187,192,18.768,37.36,5.488,122.56,3.6,14.23246
2025-08-21T03:33:00,189,192,18.848,38.704,5.36,122.688,3.632,14.17067
2025-08-21T03:45:00,194,192,18.832,43.2,5.44,123.008,3.696,14.11183
2025-08-21T03:57:02,191,192,18.784,40.88,5.232,122.848,3.776,14.05581
2025-08-21T04:09:02,192,192,18.896,41.104,5.216,123.152,3.68,14.00315
2025-08-21T04:21:03,193,192,18.816,41.856,5.392,123.552,3.6,13.95319
2025-08-21T04:33:03,191,192,18.928,39.632,5.6,124.128,3.504,13.90584
2025-08-21T04:45:10,192,192,18.976,40.592,5.28,123.92,3.648,13.86079
2025-08-21T04:57:05,190,192,18.88,39.12,5.36,123.952,3.568,13.81876
2025-08-21T05:09:04,196,192,18.96,43.616,5.472,124.352,3.744,13.77855
2025-08-21T05:21:07,195,192,18.96,42.832,5.472,124.352,3.68,13.74026
2025-08-21T05:33:05,194,132,18.944,42.576,5.312,124.464,3.664,13.70428
2025-08-21T05:45:01,193,132,18.992,41.088,5.488,124.544,3.472,13.67053
2025-08-21T05:57:02,190,132,18.96,38.64,5.36,124.624,3.344,13.6384
2025-08-21T06:09:05,214,157,19.168,60.864,6.096,124.752,3.296,13.60751
2025-08-21T06:21:04,213,157,19.152,60.64,6.08,124.832,3.216,13.57861
2025-08-21T06:33:06,212,157,19.136,59.344,6.224,124.784,3.264,13.55114
2025-08-21T06:45:00,214,157,19.104,60.048,6.352,125.52,3.296,13.52547
2025-08-21T06:57:03,213,157,19.12,60.048,6.144,124.944,3.168,13.50093
2025-08-21T07:09:06,214,157,19.152,60.784,6.112,125.232,3.296,13.47748
2025-08-21T07:21:08,213,157,19.136,60.608,5.856,125.008,3.296,13.45534
2025-08-21T07:33:02,214,157,19.184,60.832,6.08,124.928,3.216,13.43461
2025-08-21T07:45:05,214,157,19.184,60.688,6.112,125.152,3.152,13.41484
2025-08-21T07:57:02,211,157,19.136,57.184,6.128,125.296,3.312,13.39621
2025-08-21T08:09:06,210,157,19.184,56.64,6.288,125.136,3.2,13.37838
2025-08-21T08:21:02,208,157,19.152,55.136,6.032,124.608,3.312,13.36181
2025-08-21T08:33:02,208,85,19.216,55.648,6.08,124.64,3.12,13.34597
2025-08-21T08:45:08,207,85,19.2,54.416,5.856,124.384,3.184,13.33084
2025-08-21T08:57:00,207,85,19.232,54,6.176,124.64,3.152,13.31683
2025-08-21T09:09:05,206,85,19.232,52.848,6.08,124.656,3.2,13.30314
2025-08-21T09:21:00,207,85,19.232,53.856,6.288,124.592,3.12,13.29058
2025-08-21T09:33:05,204,85,19.248,51.184,6.24,124.688,3.04,13.27836
2025-08-21T09:45:08,206,85,19.248,53.12,6.144,124.48,3.12,13.26686
2025-08-21T09:57:05,203,85,19.296,50.624,6.24,124.56,3.168,13.25618
2025-08-21T10:09:07,204,85,19.248,51.344,6.112,124.816,3.152,13.24577
2025-08-21T10:21:05,202,85,19.312,49.424,6.288,124.592,3.072,13.23625
2025-08-21T10:33:00,204,85,19.04,52.864,6.144,123.584,3.056,13.55641
2025-08-21T10:45:05,203,85,19.072,52.576,6.112,122.992,3.008,13.87545
2025-08-21T10:57:10,201,85,18.992,51.616,5.92,121.52,3.072,14.17664
2025-08-21T11:09:06,200,85,18.832,51.312,6.112,120.8,3.056,14.45974
2025-08-21T11:21:06,201,85,18.8,54.064,6,119.824,2.96,14.73024
2025-08-21T11:33:04,199,85,18.688,52.688,5.888,119.008,2.896,14.98403
2025-08-21T11:45:06,199,85,18.624,54.96,5.952,117.312,2.848,15.22481
2025-08-21T11:57:00,200,85,18.56,56.704,5.744,116.256,2.768,15.4516
2025-08-21T12:09:00,198,85,18.48,56.096,5.472,115.584,2.848,15.66872
2025-08-21T12:21:04,197,85,18.384,55.504,5.664,115.312,2.784,15.87483
2025-08-21T12:33:02,195,85,18.336,54.256,5.44,114.4,2.752,16.0675
2025-08-21T12:45:05,194,85,18.272,54.144,5.424,113.6,2.736,16.25259
2025-08-21T12:57:02,192,85,18.256,53.312,5.472,112.8,2.768,16.42514
2025-08-21T13:09:01,191,85,18.176,52.912,5.216,111.936,2.768,16.58961
2025-08-21T13:21:04,190,85,18.144,52.768,5.328,111.344,2.72,16.7462
2025-08-21T13:33:00,187,85,18.08,51.232,5.456,110.208,2.736,16.89324
2025-08-21T13:45:00,187,85,18,51.168,5.264,110.032,2.784,17.03301
2025-08-21T13:57:05,183,85,18,48.384,5.088,108.96,2.704,17.16615
2025-08-21T14:09:07,180,85,17.904,46.064,5.216,108.512,2.624,17.2917
2025-08-21T14:21:08,180,85,17.872,46.544,5.12,108.352,2.592,17.41057
2025-08-21T14:33:06,178,85,17.888,46.416,4.896,107.04,2.592,17.52325
2025-08-21T14:45:01,178,85,17.84,45.872,4.784,107.136,2.624,17.62827
2025-08-21T14:57:10,177,85,17.744,45.472,4.8,106.992,2.672,17.72973
2025-08-21T15:09:01,177,85,17.728,45.472,4.768,106.672,2.576,17.82453
2025-08-21T15:21:01,175,85,17.568,43.856,4.672,106.8,2.64,17.91464
2025-08-21T15:33:07,174,85,17.696,43.76,4.672,105.792,2.608,18.00072
2025-08-21T15:45:07,176,85,17.664,46.256,4.736,105.216,2.64,18.08171
2025-08-21T15:57:09,175,85,17.536,46,4.592,104.848,2.56,18.15858
2025-08-21T16:09:05,176,85,17.6,47.856,4.416,104.096,2.624,18.23075
2025-08-21T16:21:05,174,85,17.536,46.784,4.448,103.216,2.656,18.29949
2025-08-21T16:33:08,175,85,17.552,47.408,4.56,103.136,2.672,18.36477
2025-08-21T16:45:02,173,85,17.52,46.256,4.544,102.656,2.592,18.42567
2025-08-21T16:57:02,171,85,17.536,44.672,4.368,102.56,2.608,18.48415
2025-08-21T17:09:07,173,85,17.344,46.8,4.432,102.256,2.592,18.53975
2025-08-21T17:21:00,172,85,17.344,46.16,4.48,101.904,2.608,18.5916
2025-08-21T17:33:04,170,85,17.328,44.16,4.368,101.968,2.576,18.6415
2025-08-21T17:45:01,171,85,17.36,44.256,4.464,102.288,2.656,18.68797
2025-08-21T17:57:02,169,85,17.296,43.6,4.4,101.344,2.64,18.73241
2025-08-21T18:09:07,171,85,17.36,46.016,4.272,101.488,2.672,18.77495
2025-08-21T18:21:04,173,85,17.2,47.904,4.272,101.424,2.656,18.81461
2025-08-21T18:33:06,172,85,17.088,47.856,4.16,101.232,2.624,18.85209
2025-08-21T18:45:06,171,85,17.168,46.656,4.208,100.656,2.576,18.88787
2025-08-21T18:57:08,172,85,17.2,47.552,4.32,100.848,2.608,18.92164
2025-08-21T19:09:08,168,85,17.088,44.032,4.208,100.88,2.624,18.83225
2025-08-21T19:21:00,171,85,17.584,44.592,4.352,102.48,2.72,18.2482
2025-08-21T19:33:00,177,85,17.712,46.864,4.512,105.184,2.768,17.68836
2025-08-21T19:45:07,178,85,17.824,46.544,4.48,106.8,2.736,17.15311
2025-08-21T19:57:07,182,85,18.112,47.504,4.752,109.328,2.784,16.65242
2025-08-21T20:09:01,183,85,18.256,46.784,4.848,111.28,2.784,16.18126
2025-08-21T20:21:07,185,85,18.368,45.792,5.04,113.632,2.864,15.72816
2025-08-21T20:33:03,188,85,18.56,46.992,5.232,114.944,2.864,15.30311
2025-08-21T20:45:05,189,85,18.688,46.4,5.2,116.128,3.008,14.9017
2025-08-21T20:57:08,192,85,18.768,47.216,5.392,118.352,3.008,14.5185
2025-08-21T21:09:07,194,85,18.992,47.632,5.728,118.672,3.04,14.15863
2025-08-21T21:21:05,196,85,18.96,48.08,5.744,120.208,3.12,13.81508
2025-08-21T21:33:02,197,85,19.104,47.488,5.888,121.728,3.168,13.49391
2025-08-21T21:45:03,198,85,19.232,47.68,6,122.32,3.168,13.18584
2025-08-21T21:57:03,197,85,19.328,46.528,6.32,122.656,3.136,12.89551
2025-08-21T22:09:02,184,72,19.264,32.384,5.808,123.888,3.184,12.62159
2025-08-21T22:21:00,185,72,19.408,32.688,6.064,124.384,3.312,12.36147
2025-08-21T22:33:08,187,72,19.488,33.344,6,124.864,3.328,12.11231
2025-08-21T22:45:07,191,72,19.456,37.76,6.336,125.088,3.232,11.87902
2025-08-21T22:57:00,188,72,19.632,34.32,6.208,125.168,3.328,11.66048
2025-08-21T23:09:05,193,72,19.696,37.12,6.608,126.608,3.408,11.44971
2025-08-21T23:21:02,195,72,19.712,39.264,6.672,126.912,3.392,11.25235
2025-08-21T23:33:02,196,71,19.856,38.656,6.704,127.616,3.376,11.06442
2025-08-21T23:45:06,194,71,19.904,36.416,6.784,127.856,3.296,10.8865
2025-08-21T23:57:06,197,71,19.872,38.352,7.136,128.352,3.504,10.71775
2025-08-22T00:09:00,200,71,20.032,40.72,7.28,128.816,3.504,10.55998
2025-08-22T00:21:06,204,71,19.936,45.104,7.104,128.848,3.36,10.40743
2025-08-22T00:33:01,204,71,20.112,44.4,7.264,129.312,3.472,10.26612
2025-08-22T00:45:03,204,71,20.08,44.448,7.168,129.648,3.424,10.13046
2025-08-22T00:57:06,203,71,20.176,42.816,7.68,129.344,3.408,10.0019
2025-08-22T01:09:03,207,72,20.16,45.52,7.664,130.192,3.584,9.881308
2025-08-22T01:21:07,209,72,20.24,47.024,7.664,131.088,3.408,9.765753
2025-08-22T01:33:07,209,72,20.256,48.096,7.616,129.936,3.552,9.657137
2025-08-22T01:45:03,210,72,20.304,47.728,7.728,130.816,3.536,9.55497
2025-08-22T01:57:05,209,72,20.32,47.216,7.888,130.672,3.536,9.457314
2025-08-22T02:09:06,207,72,20.368,44.576,7.68,131.616,3.488,9.365104
2025-08-22T02:21:07,207,72,20.448,44.528,8.048,131.264,3.584,9.277699
2025-08-22T02:33:04,209,72,20.384,45.296,8.24,131.616,3.616,9.194682
2025-08-22T02:45:07,207,72,20.432,44.192,8.176,131.408,3.6,9.116573
2025-08-22T02:57:06,207,72,20.432,43.344,7.952,132.16,3.68,9.04273
2025-08-22T03:09:07,210,72,20.512,45.952,8,132.32,3.6,8.972219
2025-08-22T03:21:07,207,72,20.576,43.12,8.32,131.808,3.52,8.905639
2025-08-22T03:33:04,206,72,20.576,42.208,7.968,132.416,3.552,8.843187
2025-08-22T03:45:03,205,72,20.592,40.544,7.744,132.848,3.568,8.783494
2025-08-22T03:57:04,206,72,20.576,41.632,8,132.88,3.632,8.727096
2025-08-22T04:09:01,206,72,20.592,40.976,8.032,133.088,3.632,8.673896
2025-08-22T04:21:06,205,72,20.64,40.208,8.016,133.168,3.504,8.622993
2025-08-22T04:33:03,206,72,20.576,41.232,7.824,133.312,3.632,8.575245
2025-08-22T04:45:07,209,72,20.64,42.48,8.528,133.776,3.616,8.529616
2025-08-22T04:57:00,208,72,20.704,42.944,8.288,133.44,3.616,8.487187
2025-08-22T05:09:03,211,72,20.704,44.88,8.24,133.616,3.648,8.446245
2025-08-22T05:21:00,214,72,20.72,47.568,8.224,133.92,3.584,8.40804
2025-08-22T05:33:05,213,72,20.736,46.56,8.432,134.064,3.616,8.371169
2025-08-22T05:45:07,210,72,20.688,44.432,8.256,133.904,3.616,8.336726
2025-08-22T05:57:05,209,72,20.48,44.624,8.048,133.152,3.536,8.782911
2025-08-22T06:09:08,229,85,20.496,65.968,8.176,131.52,3.504,9.293545
2025-08-22T06:21:03,230,85,20.448,68.048,7.648,130.88,3.536,9.771274
2025-08-22T06:33:02,223,85,20.176,63.664,7.344,128.576,3.44,10.2233
2025-08-22T06:45:05,222,85,20.128,64.4,7.008,127.76,3.408,10.65487
2025-08-22T06:57:02,222,85,19.904,65.696,6.864,126.336,3.376,11.06088
2025-08-22T07:09:01,219,85,19.856,63.936,6.72,125.52,3.456,11.44606
2025-08-22T07:21:03,217,85,19.6,63.456,6.368,124.56,3.232,11.8121
2025-08-22T07:33:00,214,85,19.648,61.776,6.448,123.136,3.248,12.15555
2025-08-22T07:45:00,213,85,19.52,62.656,6.016,122.576,3.216,12.48408
2025-08-22T07:57:05,212,85,19.408,62.272,6.144,121.728,3.264,12.79592
2025-08-22T08:09:04,209,85,19.344,59.936,5.856,121.104,3.136,13.08924
2025-08-22T08:21:07,208,85,19.264,59.856,5.568,120.336,3.152,13.36873
2025-08-22T08:33:01,207,85,19.12,59.472,6.048,119.808,3.072,13.62881
2025-08-22T08:45:07,206,85,18.992,60.736,5.744,118.16,3.088,13.87988
2025-08-22T08:57:04,203,85,18.992,58.816,5.52,117.392,3.024,14.11393
2025-08-22T09:09:08,201,85,18.912,57.088,5.36,117.248,3.072,14.33882
2025-08-22T09:21:06,200,85,18.88,56.064,5.344,116.992,3.088,14.32455
2025-08-22T09:33:07,200,85,18.992,54.656,5.408,118.016,3.168,13.97282
2025-08-22T09:45:08,201,85,19.072,55.12,5.52,118.784,3.136,13.63762
2025-08-22T09:57:00,199,85,19.168,51.488,5.6,119.84,3.152,13.32508
2025-08-22T10:09:10,201,85,19.312,52.592,6.096,120.48,3.232,13.02225
2025-08-22T10:21:07,202,85,19.328,52.72,6.128,120.96,3.28,12.73846
