Electricity consumption(MW),Electricity production(MW),Electricity consumption player(MW),Electricity consumption Industrial Zones(MW),Electricity consumption Commercial Zones (MW),Electricity consumption Residential Zones(MW),Electricity consumption Office Zones(MW),Temperature(°C)
176,240,18.112,34.848,4.96,115.264,3.424,16.1054
179,240,18.32,36.8,5.136,115.472,3.44,15.95189
181,240,18.272,38.912,5.008,116.016,3.44,15.80721
181,240,18.352,38.192,5.232,116.512,3.456,15.66949
181,240,18.368,37.184,5.376,116.752,3.536,15.54062
181,240,18.4,37.056,5.376,117.296,3.536,15.41724
180,240,18.448,35.968,5.392,117.312,3.584,15.30096
185,240,18.528,40.144,5.232,118.304,3.552,15.19137
184,240,18.496,38.688,5.472,118.384,3.616,15.08699
187,240,18.512,40.672,5.44,119.248,3.6,14.98828
187,240,18.624,40.016,5.504,119.328,3.616,14.89513
187,240,18.608,40.32,5.392,119.136,3.616,14.80621
186,240,18.576,38.976,5.36,119.792,3.472,14.72196
187,240,18.688,40.048,5.664,119.984,3.584,14.6425
188,240,18.64,40.272,5.376,120.448,3.68,14.56746
190,240,18.688,41.648,5.568,120.688,3.648,14.49638
190,240,18.672,41.84,5.472,120.848,3.568,14.42949
188,240,18.8,39.68,5.44,120.752,3.616,14.36545
189,240,18.704,40.464,5.36,121.392,3.616,14.30502
190,240,18.8,40.8,5.232,122.032,3.584,14.2479
189,240,18.768,39.36,5.664,121.856,3.712,14.19347
190,240,18.768,40.608,5.472,122.208,3.712,14.14244
194,240,18.832,43.792,5.36,122.928,3.68,14.09389
197,240,18.88,46.096,5.504,122.848,3.68,14.04821
196,240,18.912,44.784,5.712,123.136,3.712,14.00477
196,240,18.848,44.848,5.68,122.976,3.776,13.96294
197,240,18.976,45.36,5.632,123.712,3.744,13.9244
199,240,18.88,47.952,5.328,123.488,3.776,13.88715
197,240,18.912,46.336,5.584,123.104,3.696,13.85209
197,240,18.864,45.824,5.616,123.312,3.76,13.81899
198,240,18.976,46.08,5.648,123.968,3.776,13.78768
196,240,18.944,43.744,5.6,124.128,3.76,13.75835
218,276,19.12,64.592,6.464,124.208,3.76,13.73011
220,276,19.104,66.624,6.544,123.984,3.792,13.70343
222,276,19.152,68.976,6.496,124.416,3.776,13.67804
223,276,19.152,69.504,6.448,124.416,3.792,13.6542
219,276,19.104,66.544,6.112,124.32,3.76,13.63167
217,276,19.12,64.336,6.192,124.592,3.712,13.6104
219,276,19.12,65.6,6.128,124.864,3.744,13.59007
218,276,19.104,64.688,6.32,124.352,3.76,13.57102
217,276,19.168,64.192,6.128,124.576,3.824,13.55267
214,276,19.168,61.072,6.464,124.592,3.696,13.53556
215,276,19.168,61.36,6.16,124.88,3.776,13.5192
214,276,19.184,59.792,6.24,125.152,3.76,13.50376
212,276,19.104,58.656,6.32,124.624,3.776,13.48929
213,276,19.2,59.472,6.256,124.816,3.776,13.47547
213,276,19.184,59.184,6.304,125.184,3.776,13.4624
212,276,19.184,58.944,6.08,124.336,3.728,13.44991
210,276,19.184,57.2,6.016,124.448,3.744,13.43825
210,276,19.216,56.544,6.24,124.768,3.712,13.42707
212,276,19.184,58.128,6.24,125.184,3.76,13.4166
215,276,19.184,60.864,6.496,125.008,3.792,13.40667
217,276,19.2,63.296,6.304,125.408,3.76,13.39722
220,276,19.136,65.664,6.56,125.232,3.824,13.38823
219,276,19.216,64.16,6.544,125.52,3.792,13.43172
217,276,19.168,62.784,6.512,124.88,3.744,13.61597
213,276,19.104,59.344,6.736,124.656,3.776,13.7909
213,276,19.056,59.952,6.592,124.08,3.632,13.95607
214,276,18.912,62.496,6.608,122.784,3.728,14.11203
214,276,18.928,62.736,6.736,122.672,3.664,14.26093
213,276,18.912,61.856,6.656,122.144,3.6,14.40036
211,276,18.784,61.12,6.736,121.328,3.632,14.53302
210,276,18.832,60.304,6.336,121.504,3.696,14.65921
207,276,18.848,58.48,6.432,120.688,3.536,14.77801
205,276,18.832,57.024,6.336,119.936,3.552,14.89132
205,276,18.688,56.784,6.4,119.76,3.6,14.99649
205,276,18.592,57.52,6.432,118.944,3.536,15.09904
202,276,18.64,55.152,6.656,118.88,3.472,15.1946
199,276,18.576,52.736,6.912,118.176,3.488,15.28453
196,276,18.496,49.68,6.752,117.648,3.568,15.37009
199,276,18.544,52.064,7.088,118.336,3.472,15.45191
196,276,18.544,49.776,7.04,117.904,3.536,15.52881
196,276,18.528,50.032,7.072,116.944,3.536,15.60156
195,276,18.496,49.312,6.8,116.928,3.472,15.67066
195,276,18.496,50.48,6.608,116.688,3.456,15.73597
193,276,18.432,47.92,6.624,116.768,3.568,15.79745
192,276,18.512,47.344,6.656,116.816,3.456,15.85615
192,276,18.4,47.888,6.32,116.096,3.424,15.91142
194,276,18.304,49.776,6.384,116.144,3.408,15.96417
196,276,18.384,52.224,6.384,115.968,3.504,16.01361
196,276,18.432,52.784,6.352,115.872,3.488,16.06082
196,276,18.304,52.144,6.176,116.064,3.344,16.10523
197,276,18.368,54.112,6.288,114.784,3.456,16.14776
199,276,18.304,56.784,6.208,115.056,3.44,16.18727
200,276,18.32,56.736,6.416,115.68,3.456,16.2255
196,276,18.24,54.384,6.192,114.624,3.28,16.26125
196,276,18.304,53.344,6.064,115.056,3.488,16.2947
194,276,18.176,53.184,6.192,113.6,3.312,16.32711
194,276,18.24,52.976,5.888,114.16,3.408,16.35732
193,276,18.272,52.08,5.856,114.256,3.424,16.38659
194,276,18.256,52.928,5.92,113.664,3.424,16.41339
193,275,18.224,51.984,5.92,113.84,3.488,16.43907
195,274,18.192,54.304,5.936,113.776,3.28,16.46385
194,272,18.16,53.408,5.904,114.016,3.392,16.48693
196,268,18.208,55.168,5.792,114.08,3.264,16.50873
196,266,18.256,55.888,6.128,112.976,3.2,16.52948
197,263,18.272,56.752,5.92,113.36,3.424,16.54895
197,261,18.112,57.296,6.096,113.04,3.392,16.56783
197,258,18.192,57.6,6.24,112.048,3.328,16.58524
199,256,18.16,58.8,6.48,112.848,3.36,16.60182
196,254,18.096,55.632,6.784,112.976,3.328,16.61797
199,252,18.16,57.952,6.64,113.328,3.264,16.63249
197,250,18.144,56.4,6.8,112.704,3.344,16.64702
197,249,18.192,56.096,6.832,112.672,3.376,16.66017
195,248,18.144,53.888,6.816,113.008,3.36,16.67263
196,246,18.144,54.576,6.784,113.136,3.36,16.68512
198,244,18.112,57.344,6.928,112.704,3.248,16.6962
195,243,18.144,54.624,6.784,112.064,3.392,16.70664
195,242,18.176,54.576,7.04,112.112,3.392,16.71704
192,241,18.176,52.32,6.96,112.144,3.376,16.72736
192,240,18.112,52.64,6.832,111.872,3.424,16.73584
195,239,18.096,54.528,6.72,112.624,3.392,16.7442
176,201,17.968,38.112,4.992,112.208,3.232,16.75251
176,201,18,38.032,4.928,112.144,3.296,16.76084
175,200,18.064,36.912,4.976,112.304,3.312,16.76826
175,199,17.984,37.168,4.976,112.368,3.392,16.77448
174,198,17.984,36.336,4.88,112.448,3.344,16.7808
174,198,17.984,35.552,5.04,112.016,3.408,16.74397
176,197,18.048,36.88,5.04,113.184,3.36,16.5491
180,197,18.112,38.944,5.36,114.24,3.408,16.36352
181,196,18.128,39.408,5.424,114.64,3.424,16.18914
184,196,18.256,41.2,5.184,115.968,3.488,16.023
183,195,18.32,39.84,5.28,116.816,3.52,15.8645
187,195,18.24,42.992,5.584,117.136,3.52,15.71592
187,194,18.32,43.2,5.376,117.488,3.456,15.57483
186,194,18.416,40.72,5.456,118.256,3.664,15.44136
186,193,18.48,41.488,5.344,118.176,3.36,15.31444
188,193,18.4,42.176,5.392,118.864,3.44,15.19577
189,192,18.448,42.08,5.408,119.456,3.632,15.08276
187,192,18.528,40.352,5.536,119.648,3.568,14.9743
188,192,18.608,40.768,5.264,120.72,3.616,14.87311
187,192,18.656,39.376,5.744,120.496,3.504,14.77754
186,192,18.624,39.472,5.2,120.016,3.632,14.68628
187,192,18.624,38.56,5.36,121.312,3.568,14.59994
188,192,18.672,39.088,5.568,121.536,3.616,14.51786
190,192,18.672,41.36,5.312,121.648,3.632,14.4407
189,192,18.816,40.256,5.344,121.936,3.632,14.36717
187,192,18.736,38.4,5.2,121.552,3.584,14.29795
187,192,18.768,37.36,5.488,122.56,3.6,14.23246
189,192,18.848,38.704,5.36,122.688,3.632,14.17067
194,192,18.832,43.2,5.44,123.008,3.696,14.11183
191,192,18.784,40.88,5.232,122.848,3.776,14.05581
192,192,18.896,41.104,5.216,123.152,3.68,14.00315
193,192,18.816,41.856,5.392,123.552,3.6,13.95319
191,192,18.928,39.632,5.6,124.128,3.504,13.90584
192,192,18.976,40.592,5.28,123.92,3.648,13.86079
190,192,18.88,39.12,5.36,123.952,3.568,13.81876
196,192,18.96,43.616,5.472,124.352,3.744,13.77855
195,192,18.96,42.832,5.472,124.352,3.68,13.74026
194,132,18.944,42.576,5.312,124.464,3.664,13.70428
193,132,18.992,41.088,5.488,124.544,3.472,13.67053
190,132,18.96,38.64,5.36,124.624,3.344,13.6384
214,157,19.168,60.864,6.096,124.752,3.296,13.60751
213,157,19.152,60.64,6.08,124.832,3.216,13.57861
212,157,19.136,59.344,6.224,124.784,3.264,13.55114
214,157,19.104,60.048,6.352,125.52,3.296,13.52547
213,157,19.12,60.048,6.144,124.944,3.168,13.50093
214,157,19.152,60.784,6.112,125.232,3.296,13.47748
213,157,19.136,60.608,5.856,125.008,3.296,13.45534
214,157,19.184,60.832,6.08,124.928,3.216,13.43461
214,157,19.184,60.688,6.112,125.152,3.152,13.41484
211,157,19.136,57.184,6.128,125.296,3.312,13.39621
210,157,19.184,56.64,6.288,125.136,3.2,13.37838
208,157,19.152,55.136,6.032,124.608,3.312,13.36181
208,85,19.216,55.648,6.08,124.64,3.12,13.34597
207,85,19.2,54.416,5.856,124.384,3.184,13.33084
207,85,19.232,54,6.176,124.64,3.152,13.31683
206,85,19.232,52.848,6.08,124.656,3.2,13.30314
207,85,19.232,53.856,6.288,124.592,3.12,13.29058
204,85,19.248,51.184,6.24,124.688,3.04,13.27836
206,85,19.248,53.12,6.144,124.48,3.12,13.26686
203,85,19.296,50.624,6.24,124.56,3.168,13.25618
204,85,19.248,51.344,6.112,124.816,3.152,13.24577
202,85,19.312,49.424,6.288,124.592,3.072,13.23625
204,85,19.04,52.864,6.144,123.584,3.056,13.55641
203,85,19.072,52.576,6.112,122.992,3.008,13.87545
201,85,18.992,51.616,5.92,121.52,3.072,14.17664
200,85,18.832,51.312,6.112,120.8,3.056,14.45974
201,85,18.8,54.064,6,119.824,2.96,14.73024
199,85,18.688,52.688,5.888,119.008,2.896,14.98403
199,85,18.624,54.96,5.952,117.312,2.848,15.22481
200,85,18.56,56.704,5.744,116.256,2.768,15.4516
198,85,18.48,56.096,5.472,115.584,2.848,15.66872
197,85,18.384,55.504,5.664,115.312,2.784,15.87483
195,85,18.336,54.256,5.44,114.4,2.752,16.0675
194,85,18.272,54.144,5.424,113.6,2.736,16.25259
192,85,18.256,53.312,5.472,112.8,2.768,16.42514
191,85,18.176,52.912,5.216,111.936,2.768,16.58961
190,85,18.144,52.768,5.328,111.344,2.72,16.7462
187,85,18.08,51.232,5.456,110.208,2.736,16.89324
187,85,18,51.168,5.264,110.032,2.784,17.03301
183,85,18,48.384,5.088,108.96,2.704,17.16615
180,85,17.904,46.064,5.216,108.512,2.624,17.2917
180,85,17.872,46.544,5.12,108.352,2.592,17.41057
178,85,17.888,46.416,4.896,107.04,2.592,17.52325
178,85,17.84,45.872,4.784,107.136,2.624,17.62827
177,85,17.744,45.472,4.8,106.992,2.672,17.72973
177,85,17.728,45.472,4.768,106.672,2.576,17.82453
175,85,17.568,43.856,4.672,106.8,2.64,17.91464
174,85,17.696,43.76,4.672,105.792,2.608,18.00072
176,85,17.664,46.256,4.736,105.216,2.64,18.08171
175,85,17.536,46,4.592,104.848,2.56,18.15858
176,85,17.6,47.856,4.416,104.096,2.624,18.23075
174,85,17.536,46.784,4.448,103.216,2.656,18.29949
175,85,17.552,47.408,4.56,103.136,2.672,18.36477
173,85,17.52,46.256,4.544,102.656,2.592,18.42567
171,85,17.536,44.672,4.368,102.56,2.608,18.48415
173,85,17.344,46.8,4.432,102.256,2.592,18.53975
172,85,17.344,46.16,4.48,101.904,2.608,18.5916
170,85,17.328,44.16,4.368,101.968,2.576,18.6415
171,85,17.36,44.256,4.464,102.288,2.656,18.68797
169,85,17.296,43.6,4.4,101.344,2.64,18.73241
171,85,17.36,46.016,4.272,101.488,2.672,18.77495
173,85,17.2,47.904,4.272,101.424,2.656,18.81461
172,85,17.088,47.856,4.16,101.232,2.624,18.85209
171,85,17.168,46.656,4.208,100.656,2.576,18.88787
172,85,17.2,47.552,4.32,100.848,2.608,18.92164
168,85,17.088,44.032,4.208,100.88,2.624,18.83225
171,85,17.584,44.592,4.352,102.48,2.72,18.2482
177,85,17.712,46.864,4.512,105.184,2.768,17.68836
178,85,17.824,46.544,4.48,106.8,2.736,17.15311
182,85,18.112,47.504,4.752,109.328,2.784,16.65242
183,85,18.256,46.784,4.848,111.28,2.784,16.18126
185,85,18.368,45.792,5.04,113.632,2.864,15.72816
188,85,18.56,46.992,5.232,114.944,2.864,15.30311
189,85,18.688,46.4,5.2,116.128,3.008,14.9017
192,85,18.768,47.216,5.392,118.352,3.008,14.5185
194,85,18.992,47.632,5.728,118.672,3.04,14.15863
196,85,18.96,48.08,5.744,120.208,3.12,13.81508
197,85,19.104,47.488,5.888,121.728,3.168,13.49391
198,85,19.232,47.68,6,122.32,3.168,13.18584
197,85,19.328,46.528,6.32,122.656,3.136,12.89551
184,72,19.264,32.384,5.808,123.888,3.184,12.62159
185,72,19.408,32.688,6.064,124.384,3.312,12.36147
187,72,19.488,33.344,6,124.864,3.328,12.11231
191,72,19.456,37.76,6.336,125.088,3.232,11.87902
188,72,19.632,34.32,6.208,125.168,3.328,11.66048
193,72,19.696,37.12,6.608,126.608,3.408,11.44971
195,72,19.712,39.264,6.672,126.912,3.392,11.25235
196,71,19.856,38.656,6.704,127.616,3.376,11.06442
194,71,19.904,36.416,6.784,127.856,3.296,10.8865
197,71,19.872,38.352,7.136,128.352,3.504,10.71775
200,71,20.032,40.72,7.28,128.816,3.504,10.55998
204,71,19.936,45.104,7.104,128.848,3.36,10.40743
204,71,20.112,44.4,7.264,129.312,3.472,10.26612
204,71,20.08,44.448,7.168,129.648,3.424,10.13046
203,71,20.176,42.816,7.68,129.344,3.408,10.0019
207,72,20.16,45.52,7.664,130.192,3.584,9.881308
209,72,20.24,47.024,7.664,131.088,3.408,9.765753
209,72,20.256,48.096,7.616,129.936,3.552,9.657137
210,72,20.304,47.728,7.728,130.816,3.536,9.55497
209,72,20.32,47.216,7.888,130.672,3.536,9.457314
207,72,20.368,44.576,7.68,131.616,3.488,9.365104
207,72,20.448,44.528,8.048,131.264,3.584,9.277699
209,72,20.384,45.296,8.24,131.616,3.616,9.194682
207,72,20.432,44.192,8.176,131.408,3.6,9.116573
207,72,20.432,43.344,7.952,132.16,3.68,9.04273
210,72,20.512,45.952,8,132.32,3.6,8.972219
207,72,20.576,43.12,8.32,131.808,3.52,8.905639
206,72,20.576,42.208,7.968,132.416,3.552,8.843187
205,72,20.592,40.544,7.744,132.848,3.568,8.783494
206,72,20.576,41.632,8,132.88,3.632,8.727096
206,72,20.592,40.976,8.032,133.088,3.632,8.673896
205,72,20.64,40.208,8.016,133.168,3.504,8.622993
206,72,20.576,41.232,7.824,133.312,3.632,8.575245
209,72,20.64,42.48,8.528,133.776,3.616,8.529616
208,72,20.704,42.944,8.288,133.44,3.616,8.487187
211,72,20.704,44.88,8.24,133.616,3.648,8.446245
214,72,20.72,47.568,8.224,133.92,3.584,8.40804
213,72,20.736,46.56,8.432,134.064,3.616,8.371169
210,72,20.688,44.432,8.256,133.904,3.616,8.336726
209,72,20.48,44.624,8.048,133.152,3.536,8.782911
229,85,20.496,65.968,8.176,131.52,3.504,9.293545
230,85,20.448,68.048,7.648,130.88,3.536,9.771274
223,85,20.176,63.664,7.344,128.576,3.44,10.2233
222,85,20.128,64.4,7.008,127.76,3.408,10.65487
222,85,19.904,65.696,6.864,126.336,3.376,11.06088
219,85,19.856,63.936,6.72,125.52,3.456,11.44606
217,85,19.6,63.456,6.368,124.56,3.232,11.8121
214,85,19.648,61.776,6.448,123.136,3.248,12.15555
213,85,19.52,62.656,6.016,122.576,3.216,12.48408
212,85,19.408,62.272,6.144,121.728,3.264,12.79592
209,85,19.344,59.936,5.856,121.104,3.136,13.08924
208,85,19.264,59.856,5.568,120.336,3.152,13.36873
207,85,19.12,59.472,6.048,119.808,3.072,13.62881
206,85,18.992,60.736,5.744,118.16,3.088,13.87988
203,85,18.992,58.816,5.52,117.392,3.024,14.11393
201,85,18.912,57.088,5.36,117.248,3.072,14.33882
200,85,18.88,56.064,5.344,116.992,3.088,14.32455
200,85,18.992,54.656,5.408,118.016,3.168,13.97282
201,85,19.072,55.12,5.52,118.784,3.136,13.63762
199,85,19.168,51.488,5.6,119.84,3.152,13.32508
201,85,19.312,52.592,6.096,120.48,3.232,13.02225
202,85,19.328,52.72,6.128,120.96,3.28,12.73846
204,85,19.504,53.04,6.08,122.352,3.36,12.47046
209,85,19.648,57.856,6.352,122.288,3.36,12.21667
210,85,19.648,58.304,6.48,123.2,3.264,11.97439
212,85,19.6,60.416,6.32,122.864,3.376,12.08047
213,85,19.552,61.408,6.384,122.672,3.248,12.25695
213,85,19.536,62.384,6.064,122.24,3.28,12.42492
208,85,19.456,58.8,5.872,121.168,3.264,12.58176
205,85,19.408,55.68,5.92,121.216,3.248,12.73085
204,85,19.392,54.976,5.92,120.592,3.152,12.87126
203,85,19.28,54.88,5.808,120.48,3.216,13.00616
200,85,19.248,52.832,5.888,119.84,3.184,13.13306
199,85,19.2,51.232,5.712,119.92,3.2,13.25223
197,85,19.12,49.952,5.744,119.264,3.152,13.36663
196,85,19.152,49.536,5.504,119.248,3.12,13.47407
198,85,19.12,50.992,5.52,119.328,3.232,13.57585
200,85,19.12,53.552,5.648,118.88,3.088,13.67199
200,85,19.104,54.176,5.504,118.848,3.152,13.76393
200,85,19.024,55.2,5.36,118.16,3.136,13.85172
201,85,19.088,55.376,5.472,118.096,3.168,13.9315
202,85,18.992,56.816,5.392,117.616,3.184,14.00954
201,85,18.976,56.752,5.408,117.344,3.2,14.08264
204,85,18.992,59.984,5.12,116.944,3.12,14.15208
201,85,18.928,57.504,5.152,116.768,3.152,14.21719
201,85,18.896,57.408,5.296,116.384,3.088,14.27991
199,85,18.88,56.112,5.344,116.064,3.12,14.33931
199,85,18.848,56.208,5.04,116.208,3.072,14.39494
195,85,18.8,53.152,5.216,115.6,3.088,14.44811
195,85,18.848,52.672,5.152,115.616,2.976,14.49841
193,85,18.848,50.752,5.072,115.456,2.976,14.5454
192,85,18.8,50.384,5.216,114.928,2.96,14.58998
193,85,18.736,52,5.008,114.416,3.04,14.63262
195,85,18.816,54.336,5.056,114.72,3.024,14.67281
195,85,18.736,54.288,5.104,114.24,3.088,14.71125
195,85,18.752,54.832,4.896,113.536,3.056,14.74694
195,85,18.8,55.04,4.624,114.192,3.056,14.7812
195,85,18.88,54.544,4.944,114.176,3.12,14.81384
194,85,18.656,54.464,5.04,113.44,2.976,14.84407
192,85,18.736,52.4,4.8,113.872,2.944,14.87313
193,85,18.752,53.456,4.928,113.728,3.024,14.901
194,85,18.72,54.304,4.912,114.048,3.008,14.92689
192,85,18.688,52.32,4.816,113.376,2.976,14.95108
190,85,18.672,51.344,4.72,112.736,2.992,14.97461
191,85,18.624,51.792,4.704,113.232,2.992,14.99673
192,85,18.64,52.08,5.072,113.696,2.912,15.01759
192,85,18.656,52.464,4.768,113.824,3.008,15.03759
194,85,18.656,54.976,4.816,113.456,2.976,15.05626
193,85,18.672,54.416,4.928,112.384,2.992,15.07383
190,85,18.656,51.056,4.8,112.576,3.008,15.09062
192,85,18.576,52.944,4.928,112.976,2.976,15.10659
190,85,18.64,50.416,4.784,113.344,3.04,15.12157
190,85,18.64,51.616,4.672,112.976,3.04,15.13589
193,85,18.624,54.416,4.736,112.896,2.928,15.14942
192,85,18.592,52.672,4.896,113.168,2.976,15.16212
193,85,18.656,54.816,4.672,112.672,3.024,15.17429
194,85,18.64,54.496,4.8,113.28,3.024,15.18569
190,85,18.608,51.472,4.848,112.464,3.04,15.19648
190,85,18.576,52.24,4.768,111.76,2.912,15.20697
190,85,18.56,51.792,4.848,112.32,2.896,15.21645
173,72,18.48,35.552,4.448,111.744,3.088,15.22582
174,72,18.448,36.032,4.72,112.144,2.96,15.23434
174,72,18.448,36.256,4.576,112.512,2.976,15.24278
173,72,18.496,35.44,4.672,112.288,3.008,15.25057
174,72,18.496,36.432,4.72,112.336,2.96,15.25781
173,72,18.432,35.104,4.704,112.704,2.992,15.26507
176,72,18.56,37.408,4.672,112.48,3.04,15.27147
179,72,18.448,41.184,4.704,111.968,2.88,15.27778
181,72,18.416,43.456,4.592,112.24,2.832,15.28401
180,72,18.496,42.592,4.656,111.936,2.944,15.28933
181,72,18.496,43.232,4.832,112.304,2.928,15.2946
180,72,18.496,42.496,4.784,112.208,2.912,15.22646
183,72,18.528,44.32,4.688,112.608,2.944,15.15554
181,72,18.496,42.272,4.736,112.704,2.992,15.08717
179,72,18.528,40.768,4.72,112.768,2.912,15.02336
179,72,18.608,40.32,4.896,113.04,3.072,14.96235
181,72,18.576,41.904,4.736,113.52,3.072,14.90495
180,72,18.672,39.936,4.992,113.6,3.072,14.84997
181,72,18.704,41.024,4.944,113.568,2.96,14.79851
178,72,18.624,37.36,4.944,114.144,3.024,14.74948
177,72,18.592,37.008,4.928,113.52,3.024,14.70332
179,72,18.656,38.48,5.008,114.224,2.976,14.65938
177,72,18.72,36.64,5.008,114.16,3.04,14.61764
183,72,18.672,42.16,5.328,114.416,3.04,14.5787
182,72,18.704,41.072,5.024,114.608,3.056,14.54116
180,72,18.688,38.592,5.024,114.96,3.024,14.50599
181,72,18.816,39.728,4.832,114.784,3.136,14.4726
181,72,18.688,40.176,5.008,114.464,3.12,14.44098
183,72,18.688,40.896,5.168,115.488,3.152,14.41114
181,72,18.768,39.808,5.056,115.184,3.152,14.38266
179,72,18.752,37.12,5.184,115.664,3.072,14.35607
181,72,18.736,39.2,5.072,115.36,3.136,14.33084
178,72,18.736,36.416,5.216,115.28,3.136,14.30662
177,72,18.832,35.632,5.12,115.248,3.12,14.284
177,72,18.784,34.448,5.184,115.488,3.168,14.26224
176,72,18.816,33.792,5.104,115.296,3.136,14.24194
177,72,18.8,35.216,4.912,115.52,3.072,14.22273
177,72,18.832,34.48,4.992,115.568,3.184,14.20429
179,72,18.848,37.248,4.912,115.84,3.056,14.18702
179,72,18.816,36.8,5.024,116.064,3.168,14.17057
200,85,18.976,57.392,5.296,116,3.088,14.15489
201,85,18.992,58.016,5.216,115.968,3.12,14.14024
203,85,19.008,60.656,5.088,116.128,3.088,14.12651
203,85,18.976,60.128,5.184,116.288,3.104,14.11319
204,85,18.976,60.704,5.28,116.592,3.12,14.10078
201,85,18.928,58.544,5.056,116.08,3.136,14.08896
200,85,18.992,57.264,4.976,116.48,3.104,14.07768
200,85,18.928,57.312,4.976,116.32,3.104,14.0672
201,85,18.96,56.768,5.152,117.136,3.12,14.05709
202,85,19.04,57.808,5.12,116.912,3.184,14.04774
201,85,19.024,57.792,5.056,116.768,3.056,14.03862
200,85,18.896,56.48,5.184,116.384,3.088,14.03019
201,85,18.96,57.776,5.216,116.576,3.04,14.02182
202,85,19.008,57.84,5.072,116.976,3.12,14.01459
202,85,18.96,58.8,5.12,116.48,3.184,14.00724
202,85,19.008,58.4,5.152,116.336,3.136,14.00028
205,85,19.04,61.024,5.264,116.736,3.12,13.99406
204,85,19.072,60.336,5.248,116.864,3.136,13.98777
200,85,18.912,56.96,4.976,116.448,3.152,13.98181
199,85,19.008,55.696,5.2,116.208,3.168,13.97663
201,85,19.024,57.44,5.168,116.464,3.088,13.97142
199,85,19.072,55.904,5.264,116.528,3.104,13.96618
197,85,18.944,54.176,5.2,116.592,3.008,13.9616
198,85,19.056,54.176,5.312,116.48,3.104,13.95746
199,85,19.024,55.056,5.12,116.848,3.088,13.95329
198,85,18.96,54.16,5.28,116.752,3.2,14.06289
195,85,18.88,52.88,5.2,115.472,3.104,14.29331
193,85,18.928,52.208,5.12,114.704,3.024,14.51183
190,85,18.816,49.968,4.944,114.144,3.024,14.71721
191,85,18.768,51.824,4.72,113.568,3.024,14.91273
191,85,18.64,52.56,4.88,112.688,2.96,15.09522
191,85,18.544,53.952,4.576,111.392,2.992,15.2712
191,85,18.56,52.912,4.8,112.32,2.88,15.43661
191,85,18.544,53.968,4.704,110.864,2.944,15.59321
192,85,18.416,56.592,4.544,110.32,2.912,15.74164
192,85,18.432,56.8,4.464,109.92,2.848,15.8819
192,85,18.384,56.608,4.576,109.552,2.944,16.01525
188,85,18.288,54.672,4.432,108.512,3.008,16.14021
187,85,18.208,53.616,4.448,108.672,2.832,16.26073
185,85,18.224,52.576,4.416,107.328,2.8,16.37262
185,85,18.224,53.216,4.288,107.232,2.832,16.47956
184,85,18.208,52.064,4.304,106.64,2.832,16.58077
186,85,18.16,54.544,4.16,106.48,2.864,16.67691
182,85,18.08,51.792,4.112,106,2.8,16.76788
180,85,18.128,49.584,4.432,105.408,2.896,16.85369
180,85,18.064,50.176,4.096,105.328,2.784,16.93506
179,85,18.032,49.488,4.016,105.392,2.784,17.01169
177,85,18.032,48.832,4.112,104.208,2.672,17.08492
181,85,17.968,52.352,4.08,104.784,2.72,17.15348
179,85,17.936,50.96,4.112,103.472,2.784,17.21918
